OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
70,881,840,14,78,JOHNSVILLE,1,39.784654,-120.632668,66,15,1,1,14078,Point
71,882,840,14,79,COHASSET,1,39.993529,-121.704424,92,32,1,1,14079,Point
72,885,840,14,82,WOODFORDS,1,38.775461,-119.823738,66,15,1,1,14082,Point
73,887,840,14,84,BENTON,1,37.800222,-118.529617,88,9,1,1,14084,Point
74,888,840,14,85,LUCERNE VAL,1,34.458454,-116.945503,83,33,1,1,14085,Point
75,897,840,14,94,FT IRWIN,1,34.999517,-116.936364,83,33,1,1,14094,Point
76,898,840,14,95,LUMBERYARD,1,38.556259,-120.290699,66,15,1,1,14095,Point
77,899,840,14,96,BODIE,1,38.175217,-119.194305,88,9,1,1,14096,Point
78,900,840,14,97,ONO,1,40.516491,-122.38193,92,32,1,1,14097,Point
79,901,840,14,98,FOLSOM,1,38.720225,-121.03569,92,32,1,1,14098,Point
80,904,840,14,103,SAWMILL MTN,1,34.567532,-118.55729,92,32,1,1,14103,Point
81,905,840,14,104,TUJUNGA,1,34.25814,-118.10496,95,32,1,1,14104,Point
82,911,840,14,110,GREENHORN MT,1,35.778656,-118.569985,92,15,1,1,14110,Point
83,912,840,14,111,VALYERMO,1,34.386389,-117.69055,95,32,1,1,14111,Point
84,913,840,14,112,PEARBLOSSOM,1,34.52088,-117.940616,90,33,1,1,14112,Point
85,915,840,14,114,SISQUOC,1,34.737573,-120.235428,92,32,1,1,14114,Point
86,916,840,14,116,LONE PINE,1,36.507473,-118.098991,80,33,1,1,14116,Point
87,917,840,14,117,SILVER CITY,1,36.466427,-118.654778,92,15,1,1,14117,Point
88,918,840,14,118,LOCKWOOD VAL,1,34.738343,-119.045021,95,32,1,1,14118,Point
89,924,840,14,124,DEATH VALLEY,1,36.437309,-116.851174,80,33,1,1,14124,Point
90,925,840,14,125,MARICOPA,1,35.058629,-119.349299,91,32,1,1,14125,Point
91,928,840,14,128,KELSO VALLEY,1,35.549458,-118.2071,92,33,1,1,14128,Point
92,929,840,14,129,MT BALDY,1,34.174889,-117.676613,92,32,1,1,14129,Point
93,930,840,14,130,GREEN VALLEY,1,34.245256,-117.063958,95,32,1,1,14130,Point
94,932,840,14,132,KINGS CANYON,1,36.818942,-118.908898,92,15,1,1,14132,Point
95,933,840,14,133,ELIZABETH LK,1,34.668595,-118.395354,92,32,1,1,14133,Point
96,934,840,14,134,VENTUCOPA,1,34.818791,-119.556995,90,32,1,1,14134,Point
97,936,840,14,136,LAKE CACHUMA,1,34.673961,-119.668533,92,32,1,1,14136,Point
98,939,840,14,139,GREENWATER V,1,36.050985,-116.500418,80,33,1,1,14139,Point
99,940,840,14,140,CARRIZO PLN,1,35.093169,-119.729874,91,32,1,1,14140,Point
100,941,840,14,141,WHITE RIVER,0,35.816307,-118.8451,92,32,1,1,14141,Point
101,942,840,14,142,MT PINOS 2,1,34.83394,-119.329946,95,32,1,1,14142,Point
102,943,840,14,145,SHAFTER,0,35.441754,-119.287178,91,32,1,1,14145,Point
103,944,840,14,147,ARVIN,1,35.22337,-118.878243,91,32,1,1,14147,Point
104,948,840,14,151,LIKELY,1,41.235147,-120.336829,85,9,1,1,14151,Point
105,950,840,14,153,GOLD HILL,1,38.768761,-120.925316,92,32,1,1,14153,Point
106,951,840,14,154,CROWLEY LAKE,1,37.637577,-118.655066,88,9,1,1,14154,Point
107,953,840,14,156,TUOLUMNE GROVE,1,37.747267,-119.80352,66,15,1,1,14156,Point
108,954,840,14,157,JACKSON,0,38.375515,-120.666893,92,32,1,1,14157,Point
109,955,840,14,158,SATTLEY,1,39.615376,-120.425822,85,15,1,1,14158,Point
110,956,840,14,159,OROVILLE,1,39.497896,-121.609306,91,32,1,1,14159,Point
111,958,840,14,161,TEHAMA,1,40.335709,-121.915726,92,32,1,1,14161,Point
112,959,840,14,162,HONEY LAKE,1,40.49329,-120.108001,89,9,1,1,14162,Point
113,960,840,14,163,REDDING,0,40.672486,-122.322487,92,32,1,1,14163,Point
114,962,840,14,165,DAVIS CREEK,1,41.733279,-120.375313,85,9,1,1,14165,Point
115,963,840,14,166,DORRIS,1,41.999886,-121.891607,85,9,1,1,14166,Point
116,965,840,14,168,MACDOEL,1,41.8224,-122.011114,85,9,1,1,14168,Point
117,966,840,14,169,MCCLOUD,1,41.232321,-122.135552,85,5,1,1,14169,Point
118,967,840,14,170,BRIDGEPORT,0,38.259276,-119.221886,88,9,1,1,14170,Point
119,972,840,14,175,MT SHASTA,1,41.400098,-122.049973,85,5,1,1,14175,Point
