OBJECTID,Shape,rteno,RTENAME,Shape_Length
121,Polyline,55143,RUBY VALLEY 2,0.377097
122,Polyline,55901,COMINS LAKE,0.482667
123,Polyline,55902,HUMBOLDT NF,0.595698
124,Polyline,55903,SHELDON NWR,0.431199
125,Polyline,55905,AUSTIN,0.324314
126,Polyline,55907,VIRGIN CREEK,0.394272
127,Polyline,55908,MEADOW VALLY,0.400766
128,Polyline,69013,LOGDELL,0.432154
129,Polyline,69015,BRIDGEPORT,0.552794
130,Polyline,69021,FANDANGO CAN,0.453365
131,Polyline,69022,WAGONTIRE,0.482567
132,Polyline,69023,BUCHANAN,0.579908
133,Polyline,69024,CROWLEY,0.382882
134,Polyline,69030,BLITZEN,0.384644
135,Polyline,69031,ALVORD LAKE,0.405065
136,Polyline,69032,WILLOW SPG,0.421182
137,Polyline,69036,EAGLE ROCK,0.45417
138,Polyline,69038,SPARTA,0.488907
139,Polyline,69039,BARNES VAL,0.394929
140,Polyline,69048,MOUNT VERNON,0.45305
141,Polyline,69053,CLOVER CREEK,0.417137
142,Polyline,69054,SILVER CREEK,0.453226
143,Polyline,69055,PRINCETON,0.498572
144,Polyline,69056,ADRIAN,0.441738
145,Polyline,69061,BLIZZARD GAP,0.479414
146,Polyline,69062,FISH LAKE,0.421209
147,Polyline,69063,BATTLE MTN,0.436221
148,Polyline,69064,LOOKOUT LAKE,0.427341
149,Polyline,69130,BLITZEN 2,0.447036
150,Polyline,69136,SUMMIT PR,0.513238
151,Polyline,69139,LAPHAM RES.,0.398435
152,Polyline,69155,MALHEUR NWR,0.47279
153,Polyline,69164,ROME,0.678762
154,Polyline,69212,OCHOCO,0.468222
155,Polyline,69213,BARNHOUSE,0.602714
156,Polyline,69214,UNITY,0.440377
157,Polyline,69221,GREEN MTN.,0.574002
158,Polyline,69222,HARNEY LAKE,0.461855
159,Polyline,69223,CRANE,0.406435
160,Polyline,69224,QUARTZ MTN.,0.653202
161,Polyline,69229,PICTURE FLAT,0.752064
162,Polyline,69230,WARNER VALLY,0.429049
163,Polyline,69231,CATLOW RIM,0.377932
164,Polyline,69232,BOWDEN HILLS,0.474919
165,Polyline,69242,MALHEUR RES.,0.682461
166,Polyline,69246,CROOKED RIV.,0.504412
167,Polyline,69248,SILVIES,0.436156
168,Polyline,69249,SHEAVILLE,0.660741
169,Polyline,69254,FLOOK LAKE,0.449961
170,Polyline,69255,TROUT CREEK,0.460938
171,Polyline,69256,THREE FORKS,0.543268
172,Polyline,81031,HARDING,0.385028
173,Polyline,81036,REVA,0.524
174,Polyline,81901,COTTONWOOD,0.424376
175,Polyline,81908,INDIAN,0.452663
176,Polyline,85001,WENDOVER,0.377384
177,Polyline,85003,HYRUM,0.416972
178,Polyline,85004,SALT SPRINGS,0.385559
179,Polyline,85006,BECK,0.357448
180,Polyline,85007,ALTONAH,0.40484
181,Polyline,85008,GRIZZLY RDGE,0.413866
182,Polyline,85010,OAK CITY,0.388711
183,Polyline,85013,WILLOW CREEK,0.405634
184,Polyline,85015,BEAVER,0.492458
185,Polyline,85024,LYNN,0.407382
186,Polyline,85025,GROUSE CREEK,0.365238
187,Polyline,85034,SKYLINE DRIV,0.435154
188,Polyline,85102,JOHNSON CAN,0.440649
189,Polyline,85103,ANT FLAT-OGDEN CAN,0.134933
190,Polyline,85104,GOLD HILL,0.415337
191,Polyline,85106,UINTAH NF,0.388406
192,Polyline,85108,JENSEN,0.406278
193,Polyline,85113,BONANZA,0.398941
194,Polyline,85115,FISH LAKE NF,0.330207
195,Polyline,85151,KELTON,0.546615
196,Polyline,85153,RANDOLPH,0.509327
197,Polyline,85155,VERNON,0.438059
198,Polyline,85157,MOON LAKE,0.42772
199,Polyline,85158,M WARNER RES,0.455585
200,Polyline,85161,FAYETTE,0.498248
201,Polyline,85163,HILL CREEK,0.452072
202,Polyline,85164,INDIAN PEAK,0.416413
203,Polyline,85166,GOOSEBERRY,0.444348
204,Polyline,85170,DIXIE NF,0.493785
205,Polyline,85174,BECK 2,0.37242
206,Polyline,85203,HARDWARE RANCH,0.44735
207,Polyline,85206,HEBER MTN.,0.449648
208,Polyline,85251,PEPLIN MOUNTAIN,0.590714
