"","RouteID","CoV","p312_400m","p316_8km","p437_5km","p484_1km","p485_20km","p488_20km","p489_400m","p490_400m","p491_20km","p492_5km","p493_4km","p495_1km","p498_20km","p556_8km","p557_8km","p558_4km","pADV_400m","pDSD_400m","pISNV_20km","pSHV_400m","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"1",6002,1.17672770458473,0,0.000419550843116256,0,0.0269740743878675,0.0021466860761953,0,0.33307653481391,0,0,9.16511639697824e-05,0,0,0.041349454052226,0,0,2.4927212539385e-06,0,0.541322423823818,0.000888183146870871,0.000159392184469888,142.897562075831,126.008811839161,209.327187793576,1046.63593896788,1,68.4,1,40.4,0
"2",6052,0,0,0.00218066477235181,0,0,0.00159371070957259,0,0,0,0,0,0,0,0.00646470257540977,0,0,0.00323003464095122,0,0,0.0039025861038229,0.108240840781849,115.39363971336,115.241640183217,524.445187226766,2622.22593613383,1,70,1,58.4,0
"3",6053,1.62980060130066,0,0,0,0.00041563335596226,0.00716551890055033,0,0.00326076532080176,0,0,2.50213249928917e-05,0,0,0.054040988782967,0,0.00063936161216504,5.90667454223272e-06,0,0.614366548384003,0.00345983821008631,0.00124676321089479,115.253345428673,133.757744828219,97.4111498967304,487.055749483652,1,66.8,0.8,41,0
"4",6059,0,0,0.00122054288308863,0,0,0,0,0,0,0,0,0,0,0.0824682689208954,0,0,0,0,0.283809375567489,0.00494093805002603,0.126935948322827,127.310551462703,113.290837423543,286.41095123317,1432.05475616585,1,73.6,1,55.8,0.112
"5",6103,0,0,0,0,0.00102925718290119,0.00056080281192094,0,0.00923399211665151,0,0,2.71548856488369e-05,0,0,0.153115274262592,0,0,0.000850017000340007,0,0.625265304997381,0.00119847807195115,5.51283111441881e-05,115.329987199738,123.410518295683,105.300609859874,526.503049299371,1,77,1,52.4,0.008
"6",6108,0,0,0,0,0.000153756992986316,0.000125269605982876,0,0.0107487956336499,0,0,0,0,0,0.00686477440786163,0,4.21376192466903e-05,0.000160290660397521,0,0.231266185848347,0.00016948240809448,0.0012530979365654,139.956804325064,127.335087563787,169.489103808256,847.44551904128,1,68.4,1,44.2,0.016
"7",14018,0,0,0,0,0,0,0,0.0718232044198895,0.000488243607863292,0,0,0,0,0,0,0,0,0,0.0723114480277528,0,0.0153925221636901,134.127507017346,114.529144289664,926.736109552009,4633.68054776004,1,64.8,1,63.8,0.008
"8",14059,0,0,0,0,0,0,0,0.00296845036383219,0,0,0,0,0,0,0.000222044124330832,4.85721521973695e-05,0,0.00136601255680773,0.901147975937163,0,7.88084167389077e-05,135.618461663683,208.791872339768,131.815295527497,659.076477637487,1,85.6,1,31.2,0.024
"9",14078,0,0,0,0,0,0,0,3.06889673162498e-05,0.0246125517876323,0,0,0,0,6.85086355135065e-06,0,7.62060883584192e-05,0,3.06889673162498e-05,0.0270062912382998,2.20750047765743e-05,0.00276200705846248,112.778386192706,111.689470275884,1054.27282271039,5271.36411355196,1,64.8,1,57.8,0.028
"10",14082,0,0,0,0,0,9.93835991844612e-05,0.00144699553737973,0.0800305065564494,0.0165571874923119,0.0132602938046193,0,0,0,3.78251011821457e-05,0.00158669006431384,0.00293287131887905,0,0,0.0965876940487613,0.000524359735995627,0.00278003296676261,119.215336277398,112.700980077476,1062.79603368778,5313.98016843888,1,60.4,0.8,72,0.196
"11",14096,0.25437229795234,0,0,0,2.09288210795086e-05,0.000224100911371895,0.00927354941171397,0.423201406763679,0,0.209219765192985,0,0,0,0.00606594655573812,1.17288294628196e-05,0.0284085281622227,0,0.000101939397028467,0.638369989041515,5.41224842558539e-05,0.00761996992787788,119.001921346872,108.641712233585,244.314948146725,1221.57474073362,1,64.2,1,52,0
"12",14104,0,0,0,0,0,8.93742179755927e-05,0,0.000141598935176007,0,0,0,0,0,0,7.17543010596736e-05,0.000409152184765799,0.0025015123522391,0.000453116592563224,0.00506924187930107,0.00499520629194495,0.668828410410354,119.416540610091,118.26061968901,502.674434128749,2513.37217064374,1,73.2,0.6,71.6,0
"13",14128,1.21967344227261,0,0,0,0,0,0,0.0292757769899028,0.0357239120068006,0,0,0,0,0.00086864860268526,0.000418161410304378,9.90382287562999e-05,0,0.00234289150131658,0.521552528456802,0,0.0061578652733719,118.400004312675,131.737616549887,273.461587621504,1367.30793810752,1,18.2,1,43,0
"14",14132,0,0,0,0,0,0,0,0.00499088491079167,0.0904635247003975,0,0,0,0,7.48724360870167e-07,0.000254222664806758,0,8.19082809272017e-05,0.000179313230327844,0.104539613281133,2.84515257130664e-05,0.0631780281521772,120.936456436386,115.980763528258,823.432452206983,4117.16226103491,3,70,1,69.4,0.432
"15",14140,0,0,0,0,0,0.0180194602511005,0,0.00016890940825404,0,0,0,0,0,0,0.00430321488343128,0.0168540555793407,0.0223540107699839,0,0.0165531220088959,0.0520071112717947,0.835285175384269,116.271807205878,191.280817734332,262.509472365032,1312.54736182516,1,69.8,1,26.4,0
