"","RouteID","Totalab","p312_400m","p316_8km","p437_8km","p484_1km","p485_20km","p488_20km","p489_1km","p490_5km","p491_20km","p492_1km","p493_4km","p495_1km","p498_20km","p556_5km","p557_8km","p558_400m","pADV_400m","pDSD_400m","pISNV_20km","pSHV_1km","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"1",6002,23,0,0.000419550843116256,0,0.0269740743878675,0.0021466860761953,0,0.243200881131916,0,0,0.000264763195797679,0,0,0.041349454052226,0,0,2.65653640783147e-05,0,0.541322423823818,0.000888183146870871,0.0001482673896467,142.897562075831,126.008811839161,209.327187793576,1046.63593896788,1,68.4,1,40.4,0
"2",6052,0,0,0.00218066477235181,0,0,0.00159371070957259,0,0,0,0,0,0,0,0.00646470257540977,0,0,0,0,0,0.0039025861038229,0.10775713108435,115.39363971336,115.241640183217,524.445187226766,2622.22593613383,1,70,1,58.4,0
"3",6053,4,0,0,0,0.00041563335596226,0.00716551890055033,0,0.0067609692569861,0,0,0,0,0,0.054040988782967,0,0.00063936161216504,0,0,0.614366548384003,0.00345983821008631,5.54177807949681e-05,115.253345428673,133.757744828219,97.4111498967304,487.055749483652,1,66.8,0.8,41,0
"4",6059,0,0,0.00122054288308863,0,0,0,0,0,0,0,0,0,0,0.0824682689208954,0,0,0,0,0.283809375567489,0.00494093805002603,0.139685254518339,127.310551462703,113.290837423543,286.41095123317,1432.05475616585,1,73.6,1,55.8,0.112
"5",6103,0,0,0,0,0.00102925718290119,0.00056080281192094,0,0.00721574982480729,0,0,0,0,0,0.153115274262592,0,0,0.00846219576063287,0,0.625265304997381,0.00119847807195115,0.000711720392431675,115.329987199738,123.410518295683,105.300609859874,526.503049299371,1,77,1,52.4,0.008
"6",6108,0,0,0,0,0.000153756992986316,0.000125269605982876,0,0.00946196879915789,0,0,0,0,0,0.00686477440786163,0,4.21376192466903e-05,0.000863245245189496,0,0.231266185848347,0.00016948240809448,0.00219990774580421,139.956804325064,127.335087563787,169.489103808256,847.44551904128,1,68.4,1,44.2,0.016
"7",14018,0,0,0,0,0,0,0,0.0869526511990208,0.000113099052944246,0,0,0,0,0,0,0,0,0,0.0723114480277528,0,0.014321482223335,134.127507017346,114.529144289664,926.736109552009,4633.68054776004,1,64.8,1,63.8,0.008
"8",14059,0,0,0,0,0,0,0,0.00259475903412332,0,0,0,0,0,0,0.000248163291445771,4.85721521973695e-05,0,0.00136601255680773,0.901147975937163,0,0.000212501817449755,135.618461663683,208.791872339768,131.815295527497,659.076477637487,1,85.6,1,31.2,0.024
"9",14078,0,0,0,0,0,0,0,0.000798061849793359,0.0125979724617945,0,0,0,0,6.85086355135065e-06,0,7.62060883584192e-05,0,3.06889673162498e-05,0.0270062912382998,2.20750047765743e-05,0.00675502351432236,112.778386192706,111.689470275884,1054.27282271039,5271.36411355196,1,64.8,1,57.8,0.028
"10",14082,0,0,0,0,0,9.93835991844612e-05,0.00144699553737973,0.0831008583690987,0.0122009573975391,0.0132602938046193,0,0,0,3.78251011821457e-05,0,0.00293287131887905,0,0,0.0965876940487613,0.000524359735995627,0.00278969957081545,119.215336277398,112.700980077476,1062.79603368778,5313.98016843888,1,60.4,0.8,72,0.196
"11",14096,324,0,0,0,2.09288210795086e-05,0.000224100911371895,0.00927354941171397,0.416923044724891,0,0.209219765192985,0,0,0,0.00606594655573812,1.83466040435915e-05,0.0284085281622227,0,0.000101939397028467,0.638369989041515,5.41224842558539e-05,0.00388229631024884,119.001921346872,108.641712233585,244.314948146725,1221.57474073362,1,64.2,1,52,0
"12",14104,0,0,0,0,0,8.93742179755927e-05,0,8.72089401622086e-05,0,0,0,0,0,0,0,0.000409152184765799,0.00243550168502733,0.000453116592563224,0.00506924187930107,0.00499520629194495,0.683543672991391,119.416540610091,118.26061968901,502.674434128749,2513.37217064374,1,73.2,0.6,71.6,0
"13",14128,11,0,0,0,0,0,0,0.0252338499983116,0.05784074642169,0,0,0,0,0.00086864860268526,0.00066208436044467,9.90382287562999e-05,0,0.00234289150131658,0.521552528456802,0,0.0053608212609327,118.400004312675,131.737616549887,273.461587621504,1367.30793810752,1,18.2,1,43,0
"14",14132,0,0,0,0,0,0,0,0.0103018011362873,0.0557000671959617,0,0,0,0,7.48724360870167e-07,0.000220084334443901,0,0,0.000179313230327844,0.104539613281133,2.84515257130664e-05,0.0598095442762548,120.936456436386,115.980763528258,823.432452206983,4117.16226103491,3,70,1,69.4,0.432
"15",14140,0,0,0,0,0,0.0180194602511005,0,0.000183632245822366,0,0,0,0,0,0,0.00406698667770748,0.0168540555793407,0.00256179269185294,0,0.0165531220088959,0.0520071112717947,0.898488094509396,116.271807205878,191.280817734332,262.509472365032,1312.54736182516,1,69.8,1,26.4,0
"16",14142,0,0,0,0,0,0.00105258384804138,0,0.00291462955998496,0,0,0,0,0,0,0.00133283031605701,0.00654442869326044,0.000150911505493179,0.00223349028129905,0.00836049740432211,0.0355641024306807,0.21088755171117,119.589237591425,116.96844235184,321.819493331996,1609.09746665998,1,61.8,0.8,61.4,0
"17",14151,0,0,0,0,0,0,0.00127625179029765,0.0198889438166078,0.106791712968022,0.00121654410420185,0,0.0427798507462687,0,0,0.115289858508557,0.0930894231997766,0.000163737583233271,0.451560964960157,0.253165593275843,0.0439635156184112,0.0568271961187818,106.599480264524,107.876965044154,259.74611394975,1298.73056974875,1,64.2,1,56.6,0.128
"18",14156,0,0,0,0,0,0,0,0.00905598832592974,0.0648883642216642,0,0,0,0,2.36554256084175e-06,1.30682795827734e-05,0,0,0,0.0524626341659143,5.67730214602021e-05,0.0396575033799009,118.062446087058,115.24607785774,891.119509182879,4455.59754591439,1,70.6,1,54,0.044
"19",14158,147,0,0,0,0,0,0,0.14817370991718,0.210631056985366,0,0,0,0,7.59000032637001e-07,0.000495084242287211,0.0104470142154962,0.000724075510731833,0.00786139125937419,0.474683216964055,5.92020025456861e-05,0.0491187088553833,114.61900604072,118.080057309908,504.967766732042,2524.83883366021,1,57.2,1,71.6,0.036
"20",14165,52,0,0,0.0347343189636244,0,2.46561884187986e-05,0.00579989416805279,0.00421926092612777,0.0206103433773834,0.0151664008223787,0,0.00549528585318956,0,0.00218302099000286,0.0274281347920603,0.0932152528727219,0,0.0809645390070922,0.435007092198582,1.61213539661376e-05,0.0529868851306213,111.874759334564,115.54097277626,364.661650897377,1823.30825448688,1,57.2,1,55.6,0.072
"21",14166,14,0,0,0.000446497075923684,0,3.98670990386448e-06,9.8870405615839e-05,0.000484652665589661,0.19291680225621,0,0,0.00877878141696816,0,0,0.235153412555031,0.336478704540417,0,0.574827975053506,0.153637263249948,0.000273488299405103,0.0514111945262758,115.648765533497,118.746919324802,174.078668064668,870.39334032334,1,58.8,1,51.4,0.004
"22",14181,0,0,0,0,0,0,0,0.000826067003212483,0.0247929524713826,0,0,0,0,1.9459912580085e-05,0.0256791686448278,0.0379763418579886,2.80112044817927e-05,0.107114845938375,0.0354621848739496,5.23920723309981e-05,0.0419687930243231,107.278509652296,113.023988336486,609.267598697929,3046.33799348965,1,65.2,1,46.6,0.084
"23",14188,0,0,0,0,0,0,0,0.00300391335501295,0.075997736893086,0,0,0,0,0,0,0,0.00115268388423315,0,0.0850182248668183,0.00027953903667742,0.0903103125172243,114.613469603776,112.758974525109,1238.29307941322,6191.46539706608,1,66.2,1,51.8,0.104
"24",14199,3,0,0,0,0,0,0,0.000435295600077895,0.00010418837257762,0,0,0.00142803665756236,0,0,0.000232253247204279,0.000226300579106892,0,0,0.0166910769060712,0,0.0212149329301121,111.197866636526,116.502826281069,611.192288139346,3055.96144069673,2,22.8,1,79.8,0.012
"25",14406,92,0,0,0.000169782570851986,0,0,0,2.70870578037814e-05,0.198380167463066,0.000582096098910008,0,0.00086792864419799,0,0,0.00134620723919746,0.0016430224736246,0,0.00017278990906931,0.16276809434329,0,0.002230167759178,115.198614214646,111.685437582429,502.733134862516,2513.66567431258,2,17.4,1,80.2,0.008
"26",14407,51,0.000268574826865156,0,0.00637789054058462,0,1.49652208267985e-06,0,2.36893847866771e-05,0.0203026678278196,7.55743651753325e-05,0,0.338350163945495,0,0,0,0.00287646861398191,0,0.00485353079977747,0.353406104322136,2.24478312401978e-06,0.033504686549957,101.696904592188,101.828079982125,298.293772677209,1491.46886338604,1,69.4,1,69.6,0
"27",14415,0,0,0,0,0,0,0,0.00489269304366757,0.00750295914121302,0,0,0,0,2.54983379719704e-05,0.0284142237132317,0.0399464910219543,0,0.179222389991372,0.0150722605694564,2.31803072472458e-06,0.0396571677380175,109.756355047652,111.654357779748,730.582389448912,3652.91194724456,2,67.2,1,53.8,0.088
