"","RouteID","pres","p312_400m","p316_8km","p437_8km","p484_1km","p485_20km","p488_20km","p489_1km","p490_5km","p491_20km","p492_5km","p493_4km","p495_1km","p498_20km","p556_8km","p557_8km","p558_400m","pADV_400m","pDSD_400m","pISNV_20km","pSHV_1km","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"1",6002,1,0,0.0419550843116256,0,2.69740743878675,0.21466860761953,0,24.3200881131916,0,0,0.00916511639697824,0,0,4.1349454052226,0,0,0.00265653640783147,0,54.1322423823818,0.0888183146870871,0.01482673896467,142.897562075831,126.008811839161,209.327187793576,1046.63593896788,1,68.4,1,40.4,0
"2",6052,0,0,0.218066477235181,0,0,0.159371070957259,0,0,0,0,0,0,0,0.646470257540977,0,0,0,0,0,0.39025861038229,10.775713108435,115.39363971336,115.241640183217,524.445187226766,2622.22593613383,1,70,1,58.4,0
"3",6053,1,0,0,0,0.041563335596226,0.716551890055033,0,0.67609692569861,0,0,0.00250213249928917,0,0,5.4040988782967,0,0.063936161216504,0,0,61.4366548384003,0.345983821008631,0.00554177807949681,115.253345428673,133.757744828219,97.4111498967304,487.055749483652,1,66.8,0.8,41,0
"4",6059,0,0,0.122054288308863,0,0,0,0,0,0,0,0,0,0,8.24682689208954,0,0,0,0,28.3809375567489,0.494093805002603,13.9685254518339,127.310551462703,113.290837423543,286.41095123317,1432.05475616585,1,73.6,1,55.8,0.112
"5",6103,0,0,0,0,0.102925718290119,0.056080281192094,0,0.721574982480729,0,0,0.00271548856488369,0,0,15.3115274262592,0,0,0.846219576063287,0,62.5265304997381,0.119847807195115,0.0711720392431675,115.329987199738,123.410518295683,105.300609859874,526.503049299371,1,77,1,52.4,0.008
"6",6108,0,0,0,0,0.0153756992986316,0.0125269605982876,0,0.946196879915788,0,0,0,0,0,0.686477440786163,0,0.00421376192466903,0.0863245245189496,0,23.1266185848347,0.016948240809448,0.219990774580421,139.956804325064,127.335087563787,169.489103808256,847.44551904128,1,68.4,1,44.2,0.016
"7",14018,0,0,0,0,0,0,0,8.69526511990207,0.0113099052944246,0,0,0,0,0,0,0,0,0,7.23114480277528,0,1.4321482223335,134.127507017346,114.529144289664,926.736109552009,4633.68054776004,1,64.8,1,63.8,0.008
"8",14059,0,0,0,0,0,0,0,0.259475903412332,0,0,0,0,0,0,0.0222044124330832,0.00485721521973695,0,0.136601255680773,90.1147975937163,0,0.0212501817449754,135.618461663683,208.791872339768,131.815295527497,659.076477637487,1,85.6,1,31.2,0.024
"9",14078,0,0,0,0,0,0,0,0.0798061849793359,1.25979724617945,0,0,0,0,0.000685086355135065,0,0.00762060883584193,0,0.00306889673162498,2.70062912382998,0.00220750047765743,0.675502351432236,112.778386192706,111.689470275884,1054.27282271039,5271.36411355196,1,64.8,1,57.8,0.028
"10",14082,0,0,0,0,0,0.00993835991844612,0.144699553737973,8.31008583690987,1.22009573975391,1.32602938046193,0,0,0,0.00378251011821457,0.158669006431384,0.293287131887905,0,0,9.65876940487613,0.0524359735995627,0.278969957081545,119.215336277398,112.700980077476,1062.79603368778,5313.98016843888,1,60.4,0.8,72,0.196
"11",14096,1,0,0,0,0.00209288210795086,0.0224100911371895,0.927354941171397,41.6923044724891,0,20.9219765192985,0,0,0,0.606594655573812,0.00117288294628196,2.84085281622227,0,0.0101939397028467,63.8369989041515,0.00541224842558539,0.388229631024884,119.001921346872,108.641712233585,244.314948146725,1221.57474073362,1,64.2,1,52,0
"12",14104,0,0,0,0,0,0.00893742179755927,0,0.00872089401622086,0,0,0,0,0,0,0.00717543010596736,0.0409152184765799,0.243550168502733,0.0453116592563224,0.506924187930107,0.499520629194495,68.3543672991391,119.416540610091,118.26061968901,502.674434128749,2513.37217064374,1,73.2,0.6,71.6,0
"13",14128,1,0,0,0,0,0,0,2.52338499983116,5.78407464216899,0,0,0,0,0.086864860268526,0.0418161410304378,0.00990382287562999,0,0.234289150131658,52.1552528456802,0,0.53608212609327,118.400004312675,131.737616549887,273.461587621504,1367.30793810752,1,18.2,1,43,0
"14",14132,0,0,0,0,0,0,0,1.03018011362873,5.57000671959617,0,0,0,0,7.48724360870167e-05,0.0254222664806758,0,0,0.0179313230327844,10.4539613281133,0.00284515257130664,5.98095442762548,120.936456436386,115.980763528258,823.432452206983,4117.16226103491,3,70,1,69.4,0.432
"15",14140,0,0,0,0,0,1.80194602511005,0,0.0183632245822366,0,0,0,0,0,0,0.430321488343128,1.68540555793407,0.256179269185294,0,1.65531220088959,5.20071112717947,89.8488094509396,116.271807205878,191.280817734332,262.509472365032,1312.54736182516,1,69.8,1,26.4,0
"16",14142,0,0,0,0,0,0.105258384804138,0,0.291462955998496,0,0,0,0,0,0,0.108720821872935,0.654442869326044,0.0150911505493179,0.223349028129905,0.83604974043221,3.55641024306807,21.088755171117,119.589237591425,116.96844235184,321.819493331996,1609.09746665998,1,61.8,0.8,61.4,0
"17",14151,0,0,0,0,0,0,0.127625179029765,1.98889438166078,10.6791712968022,0.121654410420185,0,4.27798507462687,0,0,7.20846484731759,9.30894231997766,0.0163737583233271,45.1560964960157,25.3165593275843,4.39635156184112,5.68271961187818,106.599480264524,107.876965044154,259.74611394975,1298.73056974875,1,64.2,1,56.6,0.128
"18",14156,0,0,0,0,0,0,0,0.905598832592974,6.48883642216642,0,0,0,0,0.000236554256084175,0.000763393743224881,0,0,0,5.24626341659143,0.00567730214602021,3.96575033799009,118.062446087058,115.24607785774,891.119509182879,4455.59754591439,1,70.6,1,54,0.044
