"","RTENAME","RouteID","evd400m","evd1km","evd4km","evd5km","evd8km","evd20km","lvd400m","lvd1km","lvd4km","lvd5km","lvd8km","lvd20km","pwt400m","pwt1km","pwt4km","pwt5km","pwt8km","pwt20km","pwm400m","pwm1km","pwm4km","pwm5km","pwm8km","pwm20km"
"11","DRY PARK",6052,115.483798466415,115.44379597701,115.308003936992,114.870454601577,115.143361724087,115.39363971336,111.500348484391,112.530743857325,114.764352807375,114.931791241672,115.241640183217,115.149807680381,2622.22593613383,2545.81769133098,2349.24649587526,2329.97899812467,2145.18592910863,1855.57066471551,524.445187226766,509.163538266196,469.849299175051,465.995799624934,429.037185821726,371.114132943101
"12","PAGE",6053,117.564591918842,116.623721811467,116.335602803382,116.516070644434,118.151155311736,115.253345428673,133.721464714904,132.116689797455,131.340456475761,131.357419588011,133.757744828219,136.45354207123,487.055749483652,476.754305696505,468.470654440511,468.965303171314,467.327346674782,475.442266836616,97.4111498967304,95.350861139301,93.6941308881023,93.7930606342629,93.4654693349565,95.0884533673232
"13","COW SPRINGS",6054,124.591070378945,122.635420464575,123.88484277224,124.373241184037,124.685068872654,125.99515791449,122.267880914507,123.024925149468,123.271565922391,124.500404182906,125.132261008081,125.921829990224,541.992297262239,601.921866150067,544.820314661879,552.004458296839,553.72286637262,564.74616913465,108.398459452448,120.384373230013,108.964062932376,110.400891659368,110.744573274524,112.94923382693
"14","MANY FARMS",6055,109.663506991312,110.62079828921,112.838182135653,114.083935815167,114.851287992705,114.572480588619,126.254388832324,127.770080674838,127.956021909389,128.168417020398,126.603882227789,125.167183872112,417.745267172318,410.25225801559,415.430911326598,414.637755429828,421.821221758526,432.549692542897,83.5490534344635,82.050451603118,83.0861822653196,82.9275510859655,84.3642443517052,86.5099385085794
"15","MAINE",6059,111.35726479486,115.02642952604,123.592452963972,125.93867255855,131.587214916,127.310551462703,113.032652096312,114.586713931404,113.816480705079,113.438755574801,113.290837423543,113.897357465117,1432.05475616585,1507.01421858668,1536.45648847141,1536.14371016908,1529.13812032709,1526.14917258131,286.41095123317,301.402843717335,307.291297694282,307.228742033817,305.827624065417,305.229834516261
"16","CASTLE BUTTE",6060,110.460410420874,109.963876495027,108.896392206005,109.916329682799,112.9791946538,111.805730370392,111.357078154498,111.078715602236,110.283373748531,111.103490566711,111.778901747259,110.992155417078,413.655573611841,432.806301428545,435.531713916375,432.87986625153,428.39824563799,433.076135894211,82.7311147223682,86.561260285709,87.106342783275,86.575973250306,85.6796491275981,86.6152271788421
"17","GREASEWOOD",6061,111.039837241028,110.824847275175,112.248047833209,112.227321742545,113.643160900403,122.39958439979,114.507665595593,113.014949428285,112.805399379805,112.735157106225,113.308331419899,113.421679905413,449.030457604919,440.795863121618,442.35922904884,443.317313675949,442.704768581217,458.420609954339,89.8060915209837,88.1591726243236,88.471845809768,88.6634627351897,88.5409537162433,91.6841219908678
"18","NAVAJO TRAIL",6101,117.401406621008,116.834097258234,116.99274572415,116.88153967361,117.063280355408,116.341473010962,123.535397919538,122.899038639009,124.190638047147,123.396033734789,123.060140946215,125.383656075296,987.050110070456,983.007958773843,977.302947264289,975.766877866483,978.382423666425,986.698022644011,197.410022014091,196.601591754769,195.460589452858,195.153375573297,195.676484733285,197.339604528802
"19","KAIBITO",6103,113.790904113856,113.908399609688,114.47800379012,114.567087523,115.107093749101,115.329987199738,123.351388386215,124.506713179878,123.58707431918,123.870981849637,123.410518295683,120.553415510111,526.503049299371,518.365250115294,524.425649313577,523.340902515483,520.435852193554,511.649579298555,105.300609859874,103.673050023059,104.885129862715,104.668180503097,104.087170438711,102.329915859711
"20","TSAILE",6105,111.161364868797,110.526330821431,111.239472619635,111.762275000719,113.337561218824,112.710786051446,113.459042375671,113.993306978395,114.197877486595,114.000879301054,114.460405910309,115.362277878413,1348.92106963748,1555.61259332768,1291.57165309841,1277.2084367616,1179.2927470826,1026.70986690327,269.784213927495,311.122518665537,258.314330619683,255.441687352319,235.85854941652,205.341973380654
"21","SELIGMAN",6108,119.537793022725,121.708279677934,126.564732671679,129.308333781984,137.164354318658,139.956804325064,114.927128784286,115.045157313644,121.828281986174,124.204150157574,127.335087563787,127.758728556836,847.44551904128,838.927871859879,868.192113080838,862.600949905181,877.435054972087,887.788356811499,169.489103808256,167.785574371976,173.638422616168,172.520189981036,175.487010994417,177.5576713623
