"","RouteID","p312_400m","p316_400m","p437_400m","p484_400m","p485_400m","p488_400m","p489_400m","p490_400m","p491_400m","p492_400m","p493_400m","p495_400m","p498_400m","p556_400m","p557_400m","p558_400m","pSHV_400m","pDSD_400m","pADV_400m","pISNV_400m","p312_1km","p316_1km","p437_1km","p484_1km","p485_1km","p488_1km","p489_1km","p490_1km","p491_1km","p492_1km","p493_1km","p495_1km","p498_1km","p556_1km","p557_1km","p558_1km","pSHV_1km","pDSD_1km","pADV_1km","pISNV_1km","p312_4km","p316_4km","p437_4km","p484_4km","p485_4km","p488_4km","p489_4km","p490_4km","p491_4km","p492_4km","p493_4km","p495_4km","p498_4km","p556_4km","p557_4km","p558_4km","pSHV_4km","pDSD_4km","pADV_4km","pISNV_4km","p312_5km","p316_5km","p437_5km","p484_5km","p485_5km","p488_5km","p489_5km","p490_5km","p491_5km","p492_5km","p493_5km","p495_5km","p498_5km","p556_5km","p557_5km","p558_5km","pSHV_5km","pDSD_5km","pADV_5km","pISNV_5km","p312_8km","p316_8km","p437_8km","p484_8km","p485_8km","p488_8km","p489_8km","p490_8km","p491_8km","p492_8km","p493_8km","p495_8km","p498_8km","p556_8km","p557_8km","p558_8km","pSHV_8km","pDSD_8km","pADV_8km","pISNV_8km","p312_20km","p316_20km","p437_20km","p484_20km","p485_20km","p488_20km","p489_20km","p490_20km","p491_20km","p492_20km","p493_20km","p495_20km","p498_20km","p556_20km","p557_20km","p558_20km","pSHV_20km","pDSD_20km","pADV_20km","pISNV_20km"
"1",6001,0,0,0,0.0791746778775791,0.0705082216546618,0,0.206330530605217,0,0,0,0,0,0.0332309811461532,0,0,0.00106178437168192,0,0.820443653686114,0,0.00126266249605418,0,0,0,0.0858892233866769,0.0704407071232939,0,0.24633875823355,0,0,0,0,0,0.0395889449738564,0,0,0.000939360329568347,0,0.782747459200072,0,0.00251250594173702,0,0,0,0.08732255852172,0.0309113730767738,0,0.308536601146495,0,0,0,0,0,0.0466517423879709,0,3.62323529031173e-05,0.000701354831196056,0.0001501054620272,0.705242045057519,3.62323529031173e-05,0.00194878298114624,0,0,0,0.088759189111104,0.0266203332156271,0,0.307339652017592,0,0,0,0,0,0.0459234856023884,0,0.000150476710217971,0.000583849635645726,0.000531684376103496,0.691338159288626,0.000150476710217971,0.00189400019261019,0,0,0,0.101670257881229,0.0232502550448559,0,0.327193957609944,0,0,0,0,0,0.0392746204063333,0,0.000335103779238663,0.000527245195320899,0.00387027709537076,0.669487028167017,0.000335103779238663,0.00204950843821052,0,0,0,0.120773959767827,0.0166086476890426,0,0.34453994542685,0,0,0,0,0,0.057651747327048,1.24195922720914e-05,0.0015853244253199,0.000376240589419238,0.00883544405521605,0.666290669598665,0.00159774401759199,0.00371638034636051
"2",6002,0,0,0,0.0200834152432059,0.00257684031559653,0,0.33307653481391,0,0,0.000531307281566294,0,0,0.108200727890976,0,0,2.65653640783147e-05,0.000159392184469888,0.541322423823818,0,0.000185957548548203,0,0,0,0.0269740743878675,0.00465983224603914,0,0.243200881131916,0,0,0.000264763195797679,0,0,0.102198593577904,0,0,1.05905278319071e-05,0.0001482673896467,0.457341353893078,0,7.413369482335e-05,0,3.9883540063016e-05,0,0.0153925537430702,0.00356708411438599,0,0.149224265145774,0,0,0.000117157898935109,0,0,0.068824033821242,0,0,2.4927212539385e-06,0.000102201571411478,0.276789275316077,0,0.0004985442507877,0,6.04507677247501e-05,0,0.0147577874239003,0.00413990257676273,0,0.145428946947626,0,0,9.16511639697824e-05,0,0,0.0639569122527856,0,0,1.75502228878307e-05,0.000109201386857613,0.266572285468025,0,0.00143521822727149,0,0.000419550843116256,0,0.0171925376493166,0.00835935264775031,0,0.131129428607939,0,0,5.31506458934341e-05,0,0,0.0540202809294352,0,0,4.8627186668461e-05,0.000471570624203447,0.258987265331417,0,0.00196883562766955,0,0.000492298882393887,0,0.00666356484284782,0.0021466860761953,0,0.0880674493293706,0,0,5.62418604515272e-05,0,0,0.041349454052226,0,1.09562065814663e-05,2.77557233397147e-05,0.000524437088366189,0.21796934745564,1.09562065814663e-05,0.000888183146870871
"3",6003,0,0,0,0.0808602277420497,0.00725706531358782,0,0.051271461443153,0,0,0.00106200955808602,0,0,0.17629358664228,0,0,0,0.000118001062009558,0.701663814974335,0,0,0,0,0,0.0703797156748108,0.0116807188134654,0,0.0781832728167887,0,0,0.00208012800787741,0,0,0.197353683303588,0,0,1.23084497507539e-05,0.000590805588036187,0.766521016677949,0,8.61591482552772e-05,0,0,0,0.043798527301882,0.0150039032829775,0,0.0476226896784539,0,0,0.0018408726474808,0,0,0.260612709933328,0,0,4.48350071736012e-05,0.000179340028694405,0.733909507131403,0,0.000371866824204574,0,0,0,0.0409049067599778,0.013411444839337,0,0.041057309542243,0,0,0.00170081505007955,0,0,0.282030492748676,0,6.09611129060772e-06,3.45446306467771e-05,0.000146306670974585,0.745332918797766,6.09611129060772e-06,0.000286517230658563,0,0,0,0.0380732039285083,0.0148994576381668,0,0.0338580219285863,0,0,0.00152862031687886,0,0,0.319380656296837,0,5.16425782729345e-05,7.57424481336372e-05,0.000210013151643267,0.779840803145377,5.16425782729345e-05,0.000460192753054372,0,0,0,0.0371175674604689,0.0196349370819036,0,0.0325150213836404,0,0,0.00154543399837385,0,0,0.346405434996375,0,0,0.000317012102230532,0.000281788535316029,0.836889201334973,0,0.00196811680134789
"4",6004,0,0,0,0.0369978111981925,0.009979053402057,0,0.214408435124385,0,0,0,0,0,0.0238414648497258,0,0,0,0.00729600602508885,0.29930099555179,0,0,0,0,0,0.0336987183127923,0.00985403532685864,0,0.186365271388274,0,0,0,0,0,0.0207303913216334,0,0,0,0.00689119857632381,0.263474754359062,0,0,0,0,0,0.0299084824065533,0.00960168104824216,0,0.164088204762132,0,0,0,0,0,0.018333681038188,0,0,0,0.00951873458892489,0.23041772339618,0,2.26217616319842e-05,0,0,0,0.0268616487790248,0.00891168743658505,0,0.151516213779229,0,0,0,0,0,0.0179928059935772,0,0,0,0.00897205944500597,0.212550366808638,0,1.94748414261037e-05,0,0,0,0.0283878243780428,0.00986198579659654,0,0.112999687346465,0,0,0,0,0,0.0198579659654295,5.58309884318192e-06,0,0.000413149314395462,0.0102773683505293,0.178239313948814,5.58309884318192e-06,0.000615257492518648,0,0,0,0.0230990097318651,0.00799342202317821,0,0.0795801648221104,0,0,0,0,0,0.0276776605012369,0,0,0.000166934019910958,0.00838785217254921,0.145783867806891,0,0.000174698392930072
"5",6005,0,0,0,0.0452534304116494,0.00546065527863344,0,0.228423410809297,0,0,0,0,0,0.160123214785774,2.80033604032484e-05,0.00162419490338841,0.00016802016241949,0.0346961635396248,0.557994959395127,0.00165219826379166,0.00016802016241949,0,0,0,0.0544443683357308,0.00466926958467475,0,0.232755668196452,0,0,0,0,0,0.165593533803685,0.000251158755165879,0.00149553622394228,0.000148411991688928,0.033095874146631,0.580850286549307,0.00174669497910816,0.00133570792520036,0,0.000274274556379777,0,0.0702293841152255,0.00621521242438578,0,0.173011886908297,0,0,0,0,0,0.153276700250622,0.000747335259126549,0.000530935150423238,3.27116443388725e-05,0.0292492425996195,0.499889283665315,0.00127827040954979,0.00151228448058941,0,0.000909932260598378,0,0.0627561614857561,0.00749333105202168,0,0.158452648525054,0,0,0,0,0,0.152328104463334,0.00153405246498316,0.000451077530894922,2.52758961277327e-05,0.0285384310279124,0.469688367643742,0.00198512999587808,0.0014543361771957,0,0.00398068259822585,0,0.0494875988549054,0.00779913610248464,0,0.127676504150637,0,0,0,0,0,0.137302097059349,0.000961234971736822,0.000370809357639004,1.43467906229376e-05,0.0268174624721065,0.404159024241662,0.00133204432937583,0.00374340875330804,0,0.0118575230260428,0,0.0300738789250957,0.00263451120778559,0,0.129901554035633,0,0,0,0,0,0.113857410414765,0.000699375303754104,9.70531406692666e-05,9.63122770000356e-06,0.0271393179312716,0.351171601806522,0.000796428444423371,0.0110810979006887
"6",6009,0,0,0,0,0,0,0,0,0,0,0,0,0.00843160713268387,0,0,0,0.250270609012704,0.0188002050931465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165839295274249,0,0,0,0.28224314985156,0.0462719618435781,0,0,0,0.000249886415265788,0,0,0,0,0,0,0,0,0,0,0.0326929317842539,0,0,2.92075030830142e-05,0.161757642629973,0.0672162004283767,0,2.92075030830142e-05,0,0.000343509478795392,0,0,0,0,0,0,0,0,0,0,0.031507309261842,0,0,0.000196291130740224,0.14081305852575,0.0606023038380082,0,0.000196291130740224,0,0.000250431425045874,0,0,0,0,0,0,0,0,0,0,0.0296450096605819,0,0,0.00341497397789829,0.10137464085857,0.0504384067704515,0,0.00341497397789829,0,0.00224002202613509,0,0.000353136404921764,6.73353314469465e-06,0,0.000155619432677387,0,0,0,0,0,0.0445917009952162,0,0,0.00393911688964637,0.0635391150940375,0.103229552130265,0,0.00393911688964637
"7",6010,0,0,0,0.101975156669651,0.112830125335721,0,0,0,0,0,0,0,0.0358661593554163,0,0,8.39301700984781e-05,0.0586671888988362,0.817535810205909,0,0.00106311548791406,0,0,0,0.129329004329004,0.111103435571521,0,0.000172699640784747,0,0,0,0,0,0.0500138159712628,0,0,3.45399281569494e-05,0.0843349912498849,0.883289582757668,0,0.00229114856774431,0,0,0,0.159489188578317,0.111956603631432,0,0.000474647781209975,0,0,2.76250031392049e-05,0,0,0.109229262412416,0,0.000713227353775836,0.000133102287852533,0.0546372334815038,0.908596398704136,0.000713227353775836,0.0013787387930385,0,0,0,0.163168425976063,0.119561230371522,0,0.000520126771196622,0,0,4.26969737549465e-05,0,0,0.116937307257127,0,0.000551179115745674,0.000221247954911996,0.0534527295981244,0.904942951020749,0.000551179115745674,0.00163218886035955,0,0,0,0.145198171572858,0.107889120152207,0,0.000429296329240488,0,0,0.000286933279183873,0,0,0.138594291793488,0.000111462543067582,0.000313419428031616,0.000237271750094357,0.0537448103702101,0.865358765922038,0.000424881971099197,0.00299845276747148,0,0,0,0.139448088336339,0.111577809259962,0,0.000145771954062056,0,0,0.000641689606825937,0,0,0.119336686332451,6.2264402488818e-05,0.00017946798364424,0.000108413312568766,0.0411186788812332,0.916836001424024,0.000241732386133058,0.00200930889443327
"8",6011,0,0.00408007833750408,0,0,0,0,0.0532042215210532,0,0,0,0,0,0.0042976825155043,0,0,0,0.00408007833750408,0.0579099118703079,0,0.00266565118050267,0,0.00300585009534686,0,0,0,0,0.0600200390006356,0,0,0,0,0,0.00480505069005268,0,0,0,0.00300585009534686,0.065460735409776,0,0.00209008931361036,0,0.00195938855335481,0,0,0,0,0.066961675729756,0,0,0,0,0,0.00444959772603296,0,0,0,0.00195938855335481,0.0717341689477276,0,0.00159001568000078,0,0.00193940037990994,0,0,0,0,0.0704712059768449,0,0,0,0,0,0.00415206265287959,0,0,0,0.00193940037990994,0.0749268929553464,0,0.00177430465285302,0,0.00126591923369979,0,0,0,0,0.0893556111897246,0,0,0,0,0,0.00555023402634157,0,0,0,0.0012724502013715,0.0954413845651464,0,0.0011059105257429,0,0.0010497821646523,0,0.000460898018730363,0.000619216118262141,0,0.054476222323,0,0,0,0,0,0.0193125887302666,0.00161129355504772,0.00013908319024287,0,0.00358287175716075,0.0800445953973821,0.00175037674529059,0.000751641070674235
"9",6015,0,5.0840133201149e-05,0,0,0,0,0,0,0,0,0,0,0.164645771371921,0,0,0,0.0470271232110628,0.166196395434556,0,0,0,2.04171217983401e-05,0,0,0,0,0,0,0,0,0,0,0.149677919903631,0,0,0,0.0561675020672336,0.153843012750493,0,0,0,5.84640044432643e-05,0,0,0,0,0,0,0,0,0,0,0.14095671471271,0.000243600018513601,0,0,0.0659376530112616,0.151222019492873,0.000243600018513601,0,0,5.71689915389893e-05,0,0,0,0,0,0,0,0,0,0,0.143244530833143,0.000602180044210687,0,0,0.0667295525573596,0.156298117234545,0.000602180044210687,0,0,7.61158528053729e-05,0,0,0,0,3.24611725199384e-05,0,0,0,0,0,0.135472785784245,0.000425353295088848,0.000213795998320974,0,0.0522703232125367,0.149509444522177,0.000639149293409822,0,0,7.08912432330247e-05,0,0,0,0,2.36304144110082e-05,0,0,0.000911986306174849,0,0,0.0949492204547821,0.000280611171130723,0.000141044036015705,0.00322924381935434,0.0372046105892318,0.111800659731632,0.000421655207146428,0.00322924381935434
"10",6051,0,0,0,0.0085194474302321,7.96210040208607e-05,0,0.512600023886301,0,0,0,0,0,0.0647716867709702,0,0,0.000995262550260759,0,0.705004180102711,0,0.00246825112464668,0,0,0,0.00508648581383773,7.7775012444002e-05,0,0.437515555002489,0,0,0,0,0,0.0818815331010453,0,0,0.000948855151816824,0.000357765057242409,0.618606893977103,0,0.00208437033349925,0,0,0,0.00254157386278234,1.70804695079458e-05,0,0.30795403304046,0,0,0,0,0,0.0609465312982523,0,0,0.000283535793831901,0.000690050968121012,0.417610647281472,0,0.000727628001038493,0,2.62048326952457e-05,0,0.00307906784169136,1.31024163476228e-05,0,0.285601230578943,0,0,0,0,0,0.0568671074319526,0,0,0.000217500111370539,0.000600090668721126,0.393643755781441,0,0.000765181114701173,0,0.000122066942092315,0,0.00532153740407209,0.000886438508051332,0,0.240378872537408,0,0,0,0,0,0.0522141344799876,0,0,0.0002659315524154,0.00135726814183597,0.367751367077093,0,0.00114801052682058,0,0.000729626935406514,0,0.00291559214947658,0.000430778740085164,0,0.220741668330984,0,0,0,0,0,0.0458046815663144,0,0,0.000124641564390124,0.0015212102039894,0.339732086237385,0,0.000735458119705467
