"","RouteID","countobs","mean_temp","prop_quality","msday","mean_noise"
"148",53015,1,63.2,0.8,76.8,0.204
"149",53016,1,58.2,1,56,0
"150",53017,1,67.8,1,67.8,0.004
"151",53018,1,58,1,68.4,0.048
"152",53019,1,67.4,1,66.4,0
"153",53025,1,62.8,1,69,0
"154",53026,1,63,1,71.4,0.004
"155",53027,1,62.8,1,65,0.04
"156",53028,1,63.6,1,65.6,0.008
"157",53036,1,50.4,1,63.6,0.088
"158",53039,2,53.4,1,62,0
"159",53040,1,64.8,1,63.8,0.056
"160",53041,2,64.6,1,60.4,0.004
"161",53046,2,47.8,1,69.6,0.008
"162",53063,1,57.8,0.8,65.4,0.24
"163",53064,1,55.8,1,72.8,0.164
"164",53074,1,59,1,68.8,0.196
"165",53086,2,50.4,0.8,75.2,0.072
"166",53087,1,62.2,0.8,69,0.18
"167",53097,1,71.4,1,72.6,0.036
"168",53103,1,61.4,0.8,65.8,0
"169",53137,1,64.8,1,71.6,0.1
"170",53800,2,35.8,1,67.4,0.048
"171",53901,1,56,1,62,0.108
"172",53902,1,58.2,1,67.8,0.232
"173",53903,2,53.8,1,68,0.224
"174",53907,1,56.6,1,65.2,0.056
"175",54039,1,81,1,73.2,0
"176",54040,2,75.8,1,65.2,0.112
"177",54043,1,70.8,1,70.4,0.036
"178",54044,1,74.2,1,74.2,0
"179",54130,2,66.8,1,62.4,0.016
"180",54900,1,71.2,1,62.6,0.072
"181",54901,1,80.8,0.6,72.2,0
"182",55007,1,75.6,1,54.2,0.044
"183",55018,1,58.6,1,60,0.004
"184",55022,1,81.6,1,54.8,0
"185",55027,1,46.8,1,46,0.38
"186",55028,1,31.6,1,43.2,0.008
"187",55029,1,81.8,0.8,43.6,0
"188",55045,2,67.2,0.6,62.8,0.02
"189",55101,2,60.6,1,59.2,0
"190",55114,2,71.6,1,58.4,0.088
"191",55121,1,75.2,1,50.2,0
"192",55130,2,85.8,1,44.6,0
"193",55903,1,63.2,1,60,0
"194",55906,3,82,1,52.6,0.024
"195",55907,1,70,1,60.8,0
"196",60002,2,76.8,1,65.4,0.064
"197",60003,1,80,1,60.4,0
"198",60004,1,73,1,56.6,0
"199",60008,2,78.8,1,60.6,0.02
"200",60009,1,73.4,1,57.2,0
"201",60051,1,70.8,1,51,0
"202",60052,1,71.4,1,55.6,0.04
"203",60057,1,72.2,1,52,0.012
"204",60107,1,76.6,1,66.4,0
"205",60153,1,76.8,1,75.2,0.008
"206",60201,1,81.2,0.8,60.8,0.024
"207",64033,1,69.8,1,68,0.156
"208",69003,1,65.8,1,82.8,0.116
"209",69013,3,63,0.6,61.4,0
"210",69014,3,55.6,0.8,62.4,0.004
"211",69015,1,57,1,60.2,0.032
"212",69021,1,67.2,1,72.4,0.008
"213",69022,1,63,1,75.4,0
"214",69029,1,50.6,0.8,68.6,0
"215",69041,2,67.8,1,76.8,0.192
"216",69043,1,34,0.6,61.2,0.064
"217",69046,2,71.2,0.8,57.6,0.084
"218",69048,1,51,1,61.2,0.004
"219",69052,1,32,1,71.6,0.02
"220",69061,1,61.6,0.8,59.6,0
"221",69136,1,68.6,1,72,0.184
"222",69147,1,80.8,1,77,0.004
"223",69160,1,32.4,1,69,0
"224",69203,3,41.8,1,57.2,0.056
"225",69207,1,53,1,69.4,0.016
"226",69211,1,86.6,1,76.4,0.016
"227",69213,1,56,1,73.8,0.008
"228",69229,1,65,1,68.8,0.124
"229",69230,1,76.8,0.4,72.4,0.02
"230",69238,1,32,1,68.8,0.028
"231",69240,1,51.2,1,53.4,0
"232",69245,2,59.4,1,70.2,0.016
"233",69252,1,32.4,1,62.6,0
"234",69253,1,44.8,1,69.6,0
"235",69254,1,66.2,0.6,71.4,0.02
"236",69256,1,58.4,0.8,55.6,0
"237",69906,1,43.6,0.8,67.6,0.06
"238",81028,5,64.8,1,59.8,0
"239",81029,2,67.8,1,68.4,0
"240",81031,5,65.6,1,63.6,0.012
"241",81036,1,67.2,1,65.4,0
"242",81037,4,60.2,1,63.4,0.008
"243",81042,4,47.4,1,65.6,0.016
"244",81047,1,57.4,0.8,60,0.04
"245",81704,1,63,1,58,0.032
"246",81705,1,66,1,63.2,0
"247",81706,1,65.4,1,66.6,0
"248",81900,1,69.6,1,60.2,0.012
"249",81901,1,66,1,55,0.004
"250",81907,1,65.2,1,57.6,0.004
"251",81908,1,66,1,53.4,0
"252",81909,2,71.4,1,56.2,0.032
"253",81911,1,64.4,1,54.4,0
"254",85004,1,67.8,1,47.4,0
"255",85011,1,65.6,1,45.2,0.004
"256",85012,1,66.8,1,64,0.084
"257",85015,1,66.8,0.8,70.6,0.024
"258",85019,1,70.4,1,49.2,0
"259",85020,1,74.6,1,64.8,0.156
"260",85021,1,85.2,1,52.8,0.036
"261",85022,2,55.8,1,56,0
