"","RouteID","sum","AOU","Ab09","Ab10","Ab11","Ab12","Ab13","Totalab","Aveab","Stdev","CoV","pres"
"78",17303,5,0,0,0,0,0,0,0,0,0,0,0
"79",17305,5,5620,5,2,10,7,0,24,4.8,3.96232255123179,0.825483864839956,1
"80",17306,5,0,0,0,0,0,0,0,0,0,0,0
"81",17307,5,0,0,0,0,0,0,0,0,0,0,0
"82",17309,5,5620,3,1,1,10,3,18,3.6,3.71483512420134,1.03189864561148,1
"83",17312,5,0,0,0,0,0,0,0,0,0,0,0
"84",17315,5,5620,12,21,24,12,21,90,18,5.61248608016091,0.311804782231162,1
"85",17318,5,0,0,0,0,0,0,0,0,0,0,0
"86",17319,5,0,0,0,0,0,0,0,0,0,0,0
"87",17321,5,0,0,0,0,0,0,0,0,0,0,0
"88",17322,5,0,0,0,0,0,0,0,0,0,0,0
"89",17359,5,5620,1,0,0,1,0,2,0.4,0.547722557505166,1.36930639376292,1
"90",17362,5,0,0,0,0,0,0,0,0,0,0,0
"91",17365,5,5620,2,3,0,0,1,6,1.2,1.30384048104053,1.08653373420044,1
"92",17366,5,0,0,0,0,0,0,0,0,0,0,0
"93",17367,5,5620,6,6,6,6,11,35,7,2.23606797749979,0.31943828249997,1
"94",17372,5,0,0,0,0,0,0,0,0,0,0,0
"95",17410,5,0,0,0,0,0,0,0,0,0,0,0
"96",17412,5,0,0,0,0,0,0,0,0,0,0,0
"97",17900,5,0,0,0,0,0,0,0,0,0,0,0
"98",17901,5,5620,24,5,18,7,15,69,13.8,7.85493475466219,0.569198170627695,1
"99",17902,5,0,0,0,0,0,0,0,0,0,0,0
"100",17903,5,0,0,0,0,0,0,0,0,0,0,0
"101",33001,5,0,0,0,0,0,0,0,0,0,0,0
"102",33002,5,0,0,0,0,0,0,0,0,0,0,0
"103",33008,5,0,0,0,0,0,0,0,0,0,0,0
"104",33010,5,5620,49,32,33,58,64,236,47.2,14.4464528518249,0.306068916352223,1
"105",33012,5,5620,2,2,3,9,10,26,5.2,3.96232255123179,0.761985106006113,1
"106",33014,5,5620,48,51,15,40,57,211,42.2,16.3920712541155,0.388437707443495,1
"107",33018,5,0,0,0,0,0,0,0,0,0,0,0
"108",33020,5,5620,56,54,27,12,19,168,33.6,20.2558633486702,0.602853075853279,1
"109",33021,5,0,0,0,0,0,0,0,0,0,0,0
"110",33022,5,5620,12,2,1,1,5,21,4.2,4.65832587954085,1.10912520941449,1
"111",33023,5,5620,33,24,17,23,8,105,21,9.24662100445346,0.440315285926355,1
"112",33025,5,5620,24,11,10,28,32,105,21,10,0.476190476190476,1
"113",33027,5,0,0,0,0,0,0,0,0,0,0,0
"114",33029,5,0,0,0,0,0,0,0,0,0,0,0
"115",33119,5,5620,46,37,27,58,66,234,46.8,15.6748205731358,0.334932063528542,1
"116",33124,5,5620,5,0,1,6,0,12,2.4,2.88097205817759,1.20040502424066,1
"117",33128,5,5620,36,15,9,31,33,124,24.8,12.0083304418225,0.484206872654131,1
"118",33202,5,0,0,0,0,0,0,0,0,0,0,0
"119",33204,5,0,0,0,0,0,0,0,0,0,0,0
"120",33208,5,0,0,0,0,0,0,0,0,0,0,0
"121",33209,5,5620,1,0,1,7,5,14,2.8,3.03315017762062,1.08326792057879,1
"122",33211,5,5620,47,7,28,6,2,90,18,19.1180542943052,1.0621141274614,1
"123",33212,5,0,0,0,0,0,0,0,0,0,0,0
"124",33213,5,0,0,0,0,0,0,0,0,0,0,0
"125",33214,5,5620,34,6,15,31,6,92,18.4,13.4275835502893,0.729759975559202,1
"126",33217,5,5620,5,11,15,16,2,49,9.8,6.1400325732035,0.626533936041173,1
"127",33218,5,5620,6,0,6,6,7,25,5,2.82842712474619,0.565685424949238,1
"128",33219,5,5620,18,16,13,9,20,76,15.2,4.32434966208793,0.284496688295259,1
"129",33220,5,5620,52,40,25,17,11,145,29,16.8374582404827,0.580602008292508,1
"130",33221,5,0,0,0,0,0,0,0,0,0,0,0
"131",33223,5,5620,28,25,21,34,26,134,26.8,4.76445169982864,0.177778048501069,1
"132",33226,5,5620,109,22,27,26,21,205,41,38.0985564030975,0.929233083002378,1
"133",33227,5,5620,22,13,13,9,19,76,15.2,5.21536192416212,0.343115916063297,1
"134",33901,5,5620,72,75,28,0,2,177,35.4,36.5075334691348,1.03128625619025,1
"135",33902,5,5620,98,82,42,22,30,274,54.8,33.3946103435869,0.609390699700491,1
"136",33903,5,5620,53,52,58,0,5,168,33.6,28.5359422483296,0.849283995485999,1
"137",33904,5,5620,110,92,60,13,33,308,61.6,40.1534556420739,0.65184181237133,1
"138",33905,5,5620,70,72,52,29,29,252,50.4,21.0309296038002,0.41728034928175,1
"139",33906,5,0,0,0,0,0,0,0,0,0,0,0
"140",33907,5,0,0,0,0,0,0,0,0,0,0,0
"141",53001,5,0,0,0,0,0,0,0,0,0,0,0
"142",53002,5,0,0,0,0,0,0,0,0,0,0,0
"143",53007,5,5620,3,4,0,0,0,7,1.4,1.94935886896179,1.39239919211557,1
"144",53008,5,0,0,0,0,0,0,0,0,0,0,0
"145",53009,5,5620,23,26,23,20,15,107,21.4,4.15932686861708,0.194361068626967,1
"146",53012,5,5620,47,0,0,0,0,47,9.4,21.019038988498,2.23606797749979,1
"147",53013,5,0,0,0,0,0,0,0,0,0,0,0
"148",53015,5,0,0,0,0,0,0,0,0,0,0,0
"149",53016,5,0,0,0,0,0,0,0,0,0,0,0
"150",53017,5,0,0,0,0,0,0,0,0,0,0,0
"151",53018,5,0,0,0,0,0,0,0,0,0,0,0
"152",53019,5,5620,16,15,21,19,11,82,16.4,3.84707681233427,0.234577854410626,1
"153",53025,5,0,0,0,0,0,0,0,0,0,0,0
"154",53026,5,0,0,0,0,0,0,0,0,0,0,0
"155",53027,5,0,0,0,0,0,0,0,0,0,0,0
"156",53028,5,5620,30,27,21,12,19,109,21.8,7.04982269280583,0.323386362055313,1
"157",53036,5,0,0,0,0,0,0,0,0,0,0,0
"158",53039,5,0,0,0,0,0,0,0,0,0,0,0
"159",53040,5,0,0,0,0,0,0,0,0,0,0,0
"160",53041,5,0,0,0,0,0,0,0,0,0,0,0
"161",53046,5,5620,36,146,40,73,103,398,79.6,46.0141282651318,0.578066938004168,1
"162",53063,5,0,0,0,0,0,0,0,0,0,0,0
"163",53064,5,0,0,0,0,0,0,0,0,0,0,0
"164",53074,5,0,0,0,0,0,0,0,0,0,0,0
"165",53086,5,0,0,0,0,0,0,0,0,0,0,0
"166",53087,5,5620,3,5,3,13,1,25,5,4.69041575982343,0.938083151964686,1
"167",53097,5,5620,17,24,14,15,26,96,19.2,5.44977063737548,0.28384222069664,1
"168",53103,5,0,0,0,0,0,0,0,0,0,0,0
"169",53137,5,5620,5,6,3,1,7,22,4.4,2.40831891575846,0.547345208126923,1
"170",53800,5,0,0,0,0,0,0,0,0,0,0,0
"171",53901,5,0,0,0,0,0,0,0,0,0,0,0
"172",53902,5,0,0,0,0,0,0,0,0,0,0,0
"173",53903,5,0,0,0,0,0,0,0,0,0,0,0
"174",53907,5,5620,19,0,8,16,21,64,12.8,8.70057469366248,0.679732397942381,1
"175",54039,5,0,0,0,0,0,0,0,0,0,0,0
"176",54040,5,0,0,0,0,0,0,0,0,0,0,0
"177",54043,5,0,0,0,0,0,0,0,0,0,0,0
"178",54044,5,0,0,0,0,0,0,0,0,0,0,0
"179",54130,5,0,0,0,0,0,0,0,0,0,0,0
"180",54900,5,0,0,0,0,0,0,0,0,0,0,0
"181",54901,5,0,0,0,0,0,0,0,0,0,0,0
"182",55007,5,0,0,0,0,0,0,0,0,0,0,0
"183",55018,5,5620,5,42,64,29,9,149,29.8,24.3248843779369,0.816271287850233,1
"184",55022,5,5620,48,76,46,19,30,219,43.8,21.5916650585359,0.49296038946429,1
"185",55027,5,0,0,0,0,0,0,0,0,0,0,0
"186",55028,5,0,0,0,0,0,0,0,0,0,0,0
"187",55029,5,0,0,0,0,0,0,0,0,0,0,0
"188",55045,5,5620,1,6,3,0,0,10,2,2.54950975679639,1.2747548783982,1
"189",55101,5,5620,61,63,46,57,66,293,58.6,7.76530746332687,0.13251377923766,1
"190",55114,5,5620,2,8,3,4,0,17,3.4,2.96647939483827,0.872493939658313,1
"191",55121,5,0,0,0,0,0,0,0,0,0,0,0
"192",55130,5,0,0,0,0,0,0,0,0,0,0,0
"193",55903,5,5620,74,62,59,81,59,335,67,9.97496867163,0.148880129427313,1
"194",55906,5,0,0,0,0,0,0,0,0,0,0,0
"195",55907,5,5620,4,10,17,10,3,44,8.8,5.6302753041037,0.639804011829966,1
"196",60002,5,5620,4,0,1,1,2,8,1.6,1.51657508881031,0.947859430506444,1
"197",60003,5,0,0,0,0,0,0,0,0,0,0,0
"198",60004,5,0,0,0,0,0,0,0,0,0,0,0
"199",60008,5,5620,7,2,2,0,0,11,2.2,2.86356421265527,1.30162009666149,1
"200",60009,5,0,0,0,0,0,0,0,0,0,0,0
"201",60051,5,0,0,0,0,0,0,0,0,0,0,0
"202",60052,5,5620,6,5,4,6,7,28,5.6,1.14017542509914,0.203602754481989,1
"203",60057,5,0,0,0,0,0,0,0,0,0,0,0
