"","0","0.383704333614507","0.494623391390872","0.569288695438445"
"0",49,0,0,0
"0.148880129427313",1,0,0,0
"0.177778048501069",1,0,0,0
"0.191962823255641",1,0,0,0
"0.252160800768963",1,0,0,0
"0.28384222069664",1,0,0,0
"0.284496688295259",1,0,0,0
"0.307896646179406",1,0,0,0
"0.309578938596243",1,0,0,0
"0.313471672754297",0,1,0,0
"0.32987183419814",0,0,0,1
"0.352811422088151",1,0,0,0
"0.359704419603723",1,0,0,0
"0.380300012060943",1,0,0,0
"0.394600231323492",1,0,0,0
"0.395140311276039",1,0,0,0
"0.396291803949503",1,0,0,0
"0.41728034928175",1,0,0,0
"0.428214629123108",1,0,0,0
"0.46175896630055",1,0,0,0
"0.464135322544122",1,0,0,0
"0.465657314657332",1,0,0,0
"0.476190476190476",1,0,0,0
"0.509325342847625",1,0,0,0
"0.578066938004168",1,0,0,0
"0.583298111080888",1,0,0,0
"0.610064602681097",1,0,0,0
"0.630481502668997",1,0,0,0
"0.789592800197327",1,0,0,0
"0.808886194096549",0,0,1,0
"0.825483864839956",1,0,0,0
"0.872493939658313",1,0,0,0
"0.90556130855005",1,0,0,0
"1.03735234182699",1,0,0,0
"1.36930639376292",1,0,0,0
"1.45419470835834",1,0,0,0
"1.49071198499986",3,0,0,0
"1.62980060130066",1,0,0,0
"2.23606797749979",1,0,0,0
